District,Taluka,Year,NDVI,Red,Green,Blue,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,Green/Red_Ratio,Cluster
Ahmednagar District,Nevasa,2011,0.0336,106.25,111.02,106.87,715.9261,0.0861,0.0122,1.0449,2
Ahmednagar District,Nevasa,2012,0.0332,105.8,106.26,105.84,1089.2525,0.0761,0.0097,1.0043,2
Ahmednagar District,Nevasa,2013,-0.0886,146.22,122.43,105.61,994.8498,0.0732,0.0099,0.8373,2
Ahmednagar District,Nevasa,2014,-0.1059,82.63,66.99,57.22,309.167,0.1435,0.019,0.8107,1
Ahmednagar District,Nevasa,2015,-0.0424,102.28,93.01,82.71,620.4652,0.0909,0.0133,0.9093,1
Ahmednagar District,Nevasa,2016,-0.0653,123.59,107.21,90.85,968.1027,0.0822,0.0108,0.8675,2
Ahmednagar District,Nevasa,2017,-0.0289,128.29,117.16,110.85,1078.5258,0.0741,0.0098,0.9132,2
Ahmednagar District,Nevasa,2018,-0.0358,111.94,104.12,88.5,838.1433,0.0997,0.0141,0.9301,1
Ahmednagar District,Nevasa,2019,-0.0559,114.5,101.04,93.93,1112.6199,0.0729,0.01,0.8824,1
Ahmednagar District,Nevasa,2020,-0.0551,105.16,94.14,88.66,774.9659,0.1141,0.0127,0.8952,1
Ahmednagar District,Nevasa,2021,0.0812,87.53,96.3,93.96,893.1894,0.0851,0.0125,1.1001,0
Ahmednagar District,Nevasa,2022,-0.031,109.62,98.36,96.35,1267.4517,0.072,0.0098,0.8972,1
Ahmednagar District,Nevasa,2023,-0.0127,113.54,105.84,95.01,1089.9508,0.0768,0.0105,0.9321,2
Ahmednagar District,Nevasa,2024,-0.0225,100.85,91.32,78.48,1259.0091,0.0721,0.01,0.9055,1
Ahmednagar District,Parner,2010,-0.0243,108.25,103.23,92.2,336.9016,0.1207,0.0231,0.9536,0
Ahmednagar District,Parner,2011,0.0124,117.74,119.12,115.64,415.1716,0.0948,0.0172,1.0118,2
Ahmednagar District,Parner,2012,-0.0256,125.67,118.84,116.24,581.9714,0.0787,0.0147,0.9457,2
Ahmednagar District,Parner,2013,0.006,104.23,101.49,96.31,838.5325,0.0657,0.0114,0.9737,1
Ahmednagar District,Parner,2014,0.0045,102.56,98.19,94.09,1293.106,0.055,0.009,0.9574,1
Ahmednagar District,Parner,2015,-0.017,114.96,108.88,102.99,680.6684,0.074,0.0117,0.9472,2
Ahmednagar District,Parner,2016,-0.02,113.09,103.95,98.78,1210.6578,0.058,0.009,0.9192,1
Ahmednagar District,Parner,2017,-0.1242,152.8,120.66,99.16,1138.0001,0.0577,0.0105,0.7897,2
Ahmednagar District,Parner,2018,-0.1307,128.07,98.51,89.18,935.3805,0.0634,0.011,0.7691,1
Ahmednagar District,Parner,2019,-0.1434,137.68,106.75,93.51,1604.504,0.05,0.0085,0.7754,1
Ahmednagar District,Parner,2020,-0.1854,127.46,94.98,81.97,1267.8154,0.0546,0.0087,0.7452,1
Ahmednagar District,Parner,2021,-0.1481,124.88,97.99,90.19,1168.7091,0.0568,0.0091,0.7846,1
Ahmednagar District,Parner,2022,-0.0661,106.53,93.07,80.48,1020.9691,0.0664,0.0114,0.8737,1
Ahmednagar District,Parner,2023,-0.1384,139.51,108.46,95.86,1017.9483,0.0597,0.0105,0.7774,2
Ahmednagar District,Parner,2024,-0.0287,97.43,91.0,88.18,1209.8169,0.0542,0.0093,0.9341,1
Ahmednagar District,Pathardi,2010,0.0381,116.63,121.15,120.49,1050.6182,0.0692,0.0109,1.0388,2
Ahmednagar District,Pathardi,2011,0.0381,116.63,121.15,120.49,1050.6182,0.0692,0.0109,1.0388,2
Ahmednagar District,Pathardi,2012,0.0398,115.53,120.43,119.52,1013.856,0.072,0.011,1.0423,2
Ahmednagar District,Pathardi,2013,-0.0323,123.32,114.47,109.99,895.1844,0.072,0.011,0.9283,2
Ahmednagar District,Pathardi,2014,-0.1134,152.37,123.1,101.98,906.8578,0.072,0.0113,0.8079,2
Ahmednagar District,Pathardi,2015,-0.0785,131.48,114.22,102.5,1004.4661,0.0718,0.0105,0.8687,2
Ahmednagar District,Pathardi,2016,0.0234,109.94,111.46,112.75,1008.7389,0.0757,0.0101,1.0138,2
Ahmednagar District,Pathardi,2017,-0.1053,113.07,91.99,72.78,1453.3595,0.0579,0.0088,0.8136,1
Ahmednagar District,Pathardi,2018,-0.0779,152.7,130.38,104.33,878.751,0.0732,0.0117,0.8538,2
Ahmednagar District,Pathardi,2019,-0.1142,135.07,108.95,100.12,898.8561,0.0707,0.0114,0.8066,2
Ahmednagar District,Pathardi,2020,-0.0718,131.32,114.01,100.31,670.8364,0.0738,0.013,0.8682,2
Ahmednagar District,Pathardi,2021,-0.0553,98.63,86.17,77.45,1223.0964,0.0648,0.0105,0.8737,1
Ahmednagar District,Pathardi,2022,-0.0976,144.9,119.18,97.73,741.8135,0.0824,0.0123,0.8225,2
